date and time,file size (in kilobytes),build duration (in seconds)
8/17/2016 7:50pm,0.59,0.417
8/17/2016 7:51pm,0.54,0.042
8/17/2016 7:53pm,0.87,0.196
8/17/2016 7:54pm,0.89,0.025
8/17/2016 7:59pm,0.89,0.024
8/17/2016 8:00pm,0.89,0.014
8/17/2016 8:00pm,0.89,0.010
8/17/2016 8:01pm,0.98,0.030
8/17/2016 8:01pm,1.02,0.015
8/17/2016 8:03pm,1.52,0.018
8/17/2016 8:03pm,1.57,0.031
8/17/2016 8:04pm,1.31,0.015
8/17/2016 8:05pm,1.31,0.015
8/17/2016 8:05pm,1.32,0.014
8/17/2016 8:05pm,1.31,0.012
8/17/2016 8:05pm,1.32,0.022
8/17/2016 8:06pm,1.32,0.017
8/17/2016 8:06pm,1.32,0.014
8/17/2016 8:06pm,1.34,0.018
8/17/2016 8:06pm,1.32,0.016
8/17/2016 8:06pm,1.32,0.027
8/17/2016 8:06pm,1.32,0.022
8/17/2016 8:08pm,1.88,0.073
8/17/2016 8:09pm,1.97,0.632
8/17/2016 8:09pm,1.97,0.082
8/17/2016 8:11pm,2.28,0.040
8/17/2016 8:11pm,2.33,0.059
8/17/2016 8:11pm,2.33,0.044
8/17/2016 8:13pm,3.06,0.079
8/17/2016 8:13pm,3.08,0.056
8/17/2016 8:13pm,3.1,0.051
8/17/2016 8:13pm,3.05,0.048
8/17/2016 8:13pm,3.1,0.044
8/17/2016 8:13pm,3.1,0.041
8/17/2016 8:14pm,3.76,0.664
8/17/2016 8:15pm,1.6,0.506
8/17/2016 8:17pm,0.96,0.566
8/17/2016 8:18pm,0.95,0.083
8/17/2016 8:18pm,0.95,0.065
8/17/2016 8:19pm,0.95,0.057
8/17/2016 8:19pm,0.95,0.045
8/17/2016 8:19pm,0.95,0.046
8/17/2016 8:19pm,0.97,0.051
8/17/2016 8:19pm,0.97,0.041
8/17/2016 8:19pm,0.96,0.048
8/17/2016 8:20pm,0.97,0.042
8/17/2016 8:20pm,0.97,0.040
8/17/2016 8:21pm,0.96,0.030
8/17/2016 8:21pm,0.97,0.037
8/17/2016 8:21pm,0.97,0.030
8/17/2016 8:21pm,1.00,0.036
8/17/2016 8:21pm,1.01,0.025
8/17/2016 8:22pm,1.01,0.062
8/17/2016 8:22pm,1.01,0.051
8/17/2016 8:22pm,1.02,0.063
